gene_name,gene_acc,source_plate_barcode,source_plate_label,cell_plate_barcode,cell_plate_label,well,row,column,label,experimental_content_type_name,molecule_design_id
Tspo2,70026,2490686,MYORES_pass1_p6,2490690,MY-pass1-j01-MP6-1,K17,K,17,sample,SAMPLE,10387090
Tssk6,83984,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,C15,C,15,sample,SAMPLE,10386004
Tssk6,83984,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,C15,C,15,sample,SAMPLE,10386004
Tssk6,83984,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,C15,C,15,sample,SAMPLE,10386004
Tsta3,22122,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,D13,D,13,sample,SAMPLE,10386541
Tsta3,22122,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,D13,D,13,sample,SAMPLE,10386541
Tsta3,22122,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,D13,D,13,sample,SAMPLE,10386541
Ttc1,66827,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,L15,L,15,sample,SAMPLE,10386371
Ttc1,66827,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,L15,L,15,sample,SAMPLE,10386371
Ttc1,66827,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,L15,L,15,sample,SAMPLE,10386371
Ttc15,217449,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,M03,M,3,sample,SAMPLE,10385716
Ttc15,217449,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,M03,M,3,sample,SAMPLE,10385716
Ttc15,217449,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,M03,M,3,sample,SAMPLE,10385716
Ttc27,74196,2490686,MYORES_pass1_p6,2490689,MY-pass1-j01-MP6-2,M18,M,18,sample,SAMPLE,10386868
Ttc27,74196,2490686,MYORES_pass1_p6,2490690,MY-pass1-j01-MP6-1,M18,M,18,sample,SAMPLE,10386868
Tubgcp3,259279,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,G17,G,17,sample,SAMPLE,10386413
Tubgcp3,259279,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,G17,G,17,sample,SAMPLE,10386413
Tubgcp3,259279,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,G17,G,17,sample,SAMPLE,10386413
Tubgcp5,233276,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,G13,G,13,sample,SAMPLE,10386256
Tubgcp5,233276,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,G13,G,13,sample,SAMPLE,10386256
Tubgcp5,233276,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,G13,G,13,sample,SAMPLE,10386256
Tulp4,68842,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,N13,N,13,sample,SAMPLE,10386445
Tulp4,68842,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,N13,N,13,sample,SAMPLE,10386445
Tulp4,68842,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,N13,N,13,sample,SAMPLE,10386445
Tusc2,80385,2490683,MYORES_pass1_p5,2490691,MY-pass1-j01-MP4-3,I19,I,19,sample,SAMPLE,10386410
Tusc2,80385,2490683,MYORES_pass1_p5,2490692,MY-pass1-j01-MP4-2,I19,I,19,sample,SAMPLE,10386410
Tusc2,80385,2490683,MYORES_pass1_p5,2490693,MY-pass1-j01-MP4-1,I19,I,19,sample,SAMPLE,10386410
Twsg1,65960,2490684,MYORES_pass1_p4,2490694,MY-pass1-j01-MP5-3,F20,F,20,sample,SAMPLE,10386758
Twsg1,65960,2490684,MYORES_pass1_p4,2490695,MY-pass1-j01-MP5-2,F20,F,20,sample,SAMPLE,10386758
Twsg1,65960,2490684,MYORES_pass1_p4,2490696,MY-pass1-j01-MP5-1,F20,F,20,sample,SAMPLE,10386758
Txndc11,106200,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,E15,E,15,sample,SAMPLE,10386219
Txndc11,106200,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,E15,E,15,sample,SAMPLE,10386219
Txndc11,106200,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,E15,E,15,sample,SAMPLE,10386219
Txndc15,69672,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,H20,H,20,sample,SAMPLE,10386153
Txndc15,69672,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,H20,H,20,sample,SAMPLE,10386153
Txndc15,69672,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,H20,H,20,sample,SAMPLE,10386153
Txnip,56338,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,I12,I,12,sample,SAMPLE,10385987
Txnip,56338,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,I12,I,12,sample,SAMPLE,10385987
Txnip,56338,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,I12,I,12,sample,SAMPLE,10385987
Txnrd1,50493,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,F09,F,9,sample,SAMPLE,10386158
Txnrd1,50493,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,F09,F,9,sample,SAMPLE,10386158
Txnrd1,50493,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,F09,F,9,sample,SAMPLE,10386158
Uaca,72565,2490680,Myores_pass1_p1,2490703,MY-pass1-j01-MP1-3,D22,D,22,sample,SAMPLE,10385946
Uaca,72565,2490680,Myores_pass1_p1,2490704,MY-pass1-j01-MP1-2,D22,D,22,sample,SAMPLE,10385946
Uaca,72565,2490680,Myores_pass1_p1,2490705,MY-pass1-j01-MP1-1,D22,D,22,sample,SAMPLE,10385946
Uap1,107652,2490682,MYORES_pass1_p3,2490700,MY-pass1-j01-MP3-3,M19,M,19,sample,SAMPLE,10386474
Uap1,107652,2490682,MYORES_pass1_p3,2490701,MY-pass1-j01-MP3-2,M19,M,19,sample,SAMPLE,10386474
Uap1,107652,2490682,MYORES_pass1_p3,2490702,MY-pass1-j01-MP3-1,M19,M,19,sample,SAMPLE,10386474
Uba5,66663,2490681,MYORES_pass1_p2,2490697,MY-pass1-j01-MP2-3,F16,F,16,sample,SAMPLE,10386073
Uba5,66663,2490681,MYORES_pass1_p2,2490698,MY-pass1-j01-MP2-2,F16,F,16,sample,SAMPLE,10386073
Uba5,66663,2490681,MYORES_pass1_p2,2490699,MY-pass1-j01-MP2-1,F16,F,16,sample,SAMPLE,10386073
Ubap2,68926,2490686,MYORES_pass1_p6,2490688,MY-pass1-j01-MP6-3,L06,L,6,sample,SAMPLE,10387074
Ubap2,68926,2490686,MYORES_pass1_p6,2490689,MY-pass1-j01-MP6-2,L06,L,6,sample,SAMPLE,10387074
